1,82,68,14,0,0,0,100,6,0,1,0,,20,,0
2,82,68,14,0,0,0,100,6,0,1,0,,20,,0
3,82,68,14,0,0,0,100,6,0,1,0,,20,,0
4,82,68,14,0,0,0,100,6,0,1,0,,20,,0
5,82,68,14,0,0,0,100,6,0,1,0,,20,,0
6,84,68,16,0,1,0,11,20,1,1,0,241,,12650,0
7,84,68,16,0,1,0,11,20,1,1,0,241,,12644,0
8,84,68,16,0,1,0,11,20,1,1,0,241,,12660,0
9,82,68,14,0,1,1,100,10,0,1,0,,20,,0
10,84,68,16,0,1,0,11,20,1,1,0,241,,12679,0
11,84,68,16,0,1,0,11,20,1,1,0,241,,12657,0
12,82,68,14,0,1,1,100,10,0,1,0,,20,,0
13,82,68,14,0,1,1,100,10,0,1,0,,20,,0
14,82,68,14,0,1,1,100,10,0,1,0,,20,,0
15,82,68,14,0,1,1,100,10,0,1,0,,20,,0
16,88,68,20,0,2,1,103,6,0,1,0,,,,0
17,88,68,20,0,2,1,103,6,0,1,0,,,,0
18,88,68,20,0,2,1,103,6,0,1,0,,,,0
19,88,68,20,0,2,1,103,6,0,1,0,,,,0
20,88,68,20,0,2,1,103,6,0,1,0,,,,0
21,88,68,20,0,2,2,103,7,0,1,0,,,,0
22,82,68,14,0,2,2,100,6,0,1,0,,20,,0
23,88,68,20,0,2,2,103,7,0,1,0,,,,0
24,88,68,20,0,2,2,103,7,0,1,0,,,,0
25,88,68,20,0,2,2,103,7,0,1,0,,,,0
26,84,68,16,0,3,3,11,20,1,1,0,241,,12652,0
27,82,68,14,0,2,2,100,6,0,1,0,,20,,0
28,88,68,20,0,2,2,103,7,0,1,0,,,,0
29,84,68,16,0,3,3,11,20,1,1,0,241,,12662,0
30,82,68,14,0,3,2,100,6,0,1,0,,20,,0
31,84,68,16,0,3,3,11,20,1,1,0,241,,12684,0
32,82,68,14,0,3,2,100,6,0,1,0,,20,,0
33,82,68,14,0,3,2,100,6,0,1,0,,20,,0
34,84,68,16,0,3,3,11,20,1,1,0,241,,12652,0
35,84,68,16,0,3,3,11,20,1,1,0,241,,12665,0
36,82,68,14,0,3,4,100,10,0,1,0,,20,,0
37,82,68,14,0,3,4,100,10,0,1,0,,20,,0
38,82,68,14,0,3,4,100,10,0,1,0,,20,,0
39,82,68,14,0,3,4,100,10,0,1,0,,20,,0
40,82,68,14,0,3,4,100,10,0,1,0,,20,,0
41,88,68,20,0,5,3,103,6,0,1,0,,,,0
42,88,68,20,0,5,3,103,6,0,1,0,,,,0
43,82,68,14,0,5,4,100,6,0,1,0,,20,,0
44,88,68,20,0,4,5,103,7,0,1,0,,,,0
45,88,68,20,0,4,5,103,7,0,1,0,,,,0
46,82,68,14,0,5,4,100,6,0,1,0,,20,,0
47,84,68,16,0,5,6,11,20,1,1,0,241,,12660,0
48,88,68,20,0,5,3,103,6,0,1,0,,,,0
49,88,68,20,0,4,5,103,7,0,1,0,,,,0
50,82,68,14,0,6,4,100,6,0,1,0,,20,,0
51,84,68,16,0,5,6,11,20,1,1,0,241,,12683,0
52,88,68,20,0,5,3,103,6,0,1,0,,,,0
53,88,68,20,0,5,3,103,6,0,1,0,,,,0
54,88,68,20,0,4,5,103,7,0,1,0,,,,0
55,82,68,14,0,5,4,100,6,0,1,0,,20,,0
56,88,68,20,0,4,5,103,7,0,1,0,,,,0
57,82,68,14,0,5,4,100,6,0,1,0,,20,,0
58,84,68,16,0,5,6,11,20,1,1,0,241,,12652,0
59,84,68,16,0,5,6,11,20,1,1,0,241,,12664,0
60,82,68,14,0,5,7,100,10,0,1,0,,20,,0
61,100,68,16,0,5,6,11,20,1,1,0,241,,12650,0
62,100,68,14,0,5,7,100,10,0,1,0,,20,,0
63,82,68,14,0,5,7,100,10,0,1,0,,20,,0
64,82,68,14,0,5,7,100,10,0,1,0,,20,,0
65,82,68,14,0,5,7,100,10,0,1,0,,20,,0
66,88,68,20,0,8,5,103,6,0,1,0,,,,0
67,82,68,14,0,8,6,100,6,0,1,0,,20,,0
68,88,68,20,0,8,5,103,6,0,1,0,,,,0
69,82,68,14,0,8,6,100,6,0,1,0,,20,,0
70,88,68,20,0,6,8,103,7,0,1,0,,,,0
71,88,68,20,0,6,8,103,7,0,1,0,,,,0
72,88,68,20,0,8,5,103,6,0,1,0,,,,0
73,88,68,20,0,6,8,103,7,0,1,0,,,,0
74,82,68,14,0,8,6,100,6,0,1,0,,20,,0
75,84,68,16,0,7,9,11,20,1,1,0,241,,12682,0
76,88,68,20,0,8,5,103,6,0,1,0,,,,0
77,88,68,20,0,8,5,103,6,0,1,0,,,,0
78,82,68,14,0,8,6,100,6,0,1,0,,20,,0
79,82,68,14,0,8,6,100,6,0,1,0,,20,,0
80,88,68,20,0,6,8,103,7,0,1,0,,,,0
81,88,68,20,0,6,8,103,7,0,1,0,,,,0
82,100,68,16,0,7,9,11,20,1,1,0,241,,12659,0
83,100,68,14,0,7,10,100,10,0,1,0,,20,,0
84,100,68,16,0,7,9,11,20,1,1,0,241,,12649,0
85,100,68,14,0,7,10,100,10,0,1,0,,20,,0
86,82,68,14,0,7,10,100,10,0,1,0,,20,,0
87,100,68,16,0,7,9,11,20,1,1,0,241,,12663,0
88,100,68,14,0,7,10,100,10,0,1,0,,20,,0
89,100,68,16,0,7,9,11,20,1,1,0,241,,12650,0
90,100,68,14,0,7,10,100,10,0,1,0,,20,,0
91,88,68,20,0,11,7,103,6,0,1,0,,,,0
92,88,68,20,0,11,7,103,6,0,1,0,,,,0
93,82,68,14,0,11,8,100,6,0,1,0,,20,,0
